Date,AQI
2017-07-13,71.0
2017-07-14,64.0
2017-07-15,79.0
2017-07-16,90.0
2017-07-17,95.0
2017-07-18,100.0
2017-07-19,106.0
2017-07-20,88.0
2017-07-21,69.0
2017-07-22,55.0
2017-07-23,71.0
2017-07-24,60.0
2017-07-25,68.0
2017-07-26,63.0
2017-07-27,75.0
2017-07-28,70.0
2017-07-29,96.0
2017-07-30,43.0
2017-07-31,48.0
2017-08-01,
2017-08-02,
2017-08-03,
2017-08-04,
2017-08-05,
2017-08-06,
2017-08-07,
2017-08-08,
2017-08-09,
2017-08-10,
2017-08-11,
2017-08-12,
2017-08-13,
2017-08-14,
2017-08-15,
2017-08-16,
2017-08-17,
2017-08-18,
2017-08-19,
2017-08-20,
2017-08-21,
2017-08-22,
2017-08-23,
2017-08-24,116.0
2017-08-25,141.0
2017-08-26,114.0
2017-08-27,104.0
2017-08-28,70.0
2017-08-29,68.0
2017-08-30,77.0
2017-08-31,92.0
2017-09-01,69.0
2017-09-02,65.0
2017-09-03,80.0
2017-09-04,106.0
2017-09-05,91.0
2017-09-06,86.0
2017-09-07,82.0
2017-09-08,152.0
2017-09-09,125.0
2017-09-10,154.0
2017-09-11,149.0
2017-09-12,118.0
2017-09-13,141.0
2017-09-14,191.0
2017-09-15,215.0
2017-09-16,137.0
2017-09-17,126.0
2017-09-18,124.0
2017-09-19,152.0
2017-09-20,174.0
2017-09-21,175.0
2017-09-22,67.0
2017-09-23,59.0
2017-09-24,105.0
2017-09-25,143.0
2017-09-26,177.0
2017-09-27,206.0
2017-09-28,205.0
2017-09-29,208.0
2017-09-30,192.0
2017-10-01,170.0
2017-10-02,144.0
2017-10-03,159.0
2017-10-04,220.0
2017-10-05,254.0
2017-10-06,187.0
2017-10-07,
2017-10-08,234.0
2017-10-09,268.0
2017-10-10,238.0
2017-10-11,252.0
2017-10-12,273.0
2017-10-13,262.0
2017-10-14,
2017-10-15,272.0
2017-10-16,274.0
2017-10-17,316.0
2017-10-18,286.0
2017-10-19,293.0
2017-10-20,357.0
2017-10-21,396.0
2017-10-22,311.0
2017-10-23,287.0
2017-10-24,294.0
2017-10-25,352.0
2017-10-26,324.0
2017-10-27,332.0
2017-10-28,347.0
2017-10-29,336.0
2017-10-30,328.0
2017-10-31,335.0
2017-11-01,354.0
2017-11-02,285.0
2017-11-03,327.0
2017-11-04,357.0
2017-11-05,363.0
2017-11-06,356.0
2017-11-07,449.0
2017-11-08,487.0
2017-11-09,487.0
2017-11-10,470.0
2017-11-11,431.0
2017-11-12,491.0
2017-11-13,465.0
2017-11-14,384.0
2017-11-15,354.0
2017-11-16,363.0
2017-11-17,307.0
2017-11-18,299.0
2017-11-19,291.0
2017-11-20,325.0
2017-11-21,325.0
2017-11-22,328.0
2017-11-23,316.0
2017-11-24,335.0
2017-11-25,337.0
2017-11-26,361.0
2017-11-27,365.0
2017-11-28,327.0
2017-11-29,344.0
2017-11-30,368.0
2017-12-01,343.0
2017-12-02,333.0
2017-12-03,355.0
2017-12-04,391.0
2017-12-05,380.0
2017-12-06,296.0
2017-12-07,191.0
2017-12-08,217.0
2017-12-09,308.0
2017-12-10,378.0
2017-12-11,363.0
2017-12-12,225.0
2017-12-13,270.0
2017-12-14,285.0
2017-12-15,284.0
2017-12-16,223.0
2017-12-17,199.0
2017-12-18,236.0
2017-12-19,297.0
2017-12-20,372.0
2017-12-21,446.0
2017-12-22,321.0
2017-12-23,228.0
2017-12-24,309.0
2017-12-25,384.0
2017-12-26,342.0
2017-12-27,360.0
2017-12-28,383.0
2017-12-29,367.0
2017-12-30,400.0
2017-12-31,406.0
2018-01-01,406.0
2018-01-02,418.0
2018-01-03,382.0
2018-01-04,366.0
2018-01-05,390.0
2018-01-06,405.0
2018-01-07,355.0
2018-01-08,288.0
2018-01-09,359.0
2018-01-10,352.0
2018-01-11,309.0
2018-01-12,298.0
2018-01-13,359.0
2018-01-14,321.0
2018-01-15,331.0
2018-01-16,255.0
2018-01-17,353.0
2018-01-18,400.0
2018-01-19,406.0
2018-01-20,323.0
2018-01-21,276.0
2018-01-22,342.0
2018-01-23,324.0
2018-01-24,270.0
2018-01-25,243.0
2018-01-26,261.0
2018-01-27,286.0
2018-01-28,300.0
2018-01-29,302.0
2018-01-30,270.0
2018-01-31,244.0
2018-02-01,274.0
2018-02-02,293.0
2018-02-03,243.0
2018-02-04,256.0
2018-02-05,291.0
2018-02-06,287.0
2018-02-07,261.0
2018-02-08,308.0
2018-02-09,335.0
2018-02-10,341.0
2018-02-11,304.0
2018-02-12,178.0
2018-02-13,191.0
2018-02-14,187.0
2018-02-15,187.0
2018-02-16,235.0
2018-02-17,256.0
2018-02-18,257.0
2018-02-19,294.0
2018-02-20,296.0
2018-02-21,308.0
2018-02-22,300.0
2018-02-23,302.0
2018-02-24,320.0
2018-02-25,266.0
2018-02-26,156.0
2018-02-27,160.0
2018-02-28,272.0
2018-03-01,257.0
2018-03-02,260.0
2018-03-03,203.0
2018-03-04,178.0
2018-03-05,172.0
2018-03-06,167.0
2018-03-07,185.0
2018-03-08,245.0
2018-03-09,280.0
2018-03-10,170.0
2018-03-11,170.0
2018-03-12,214.0
2018-03-13,217.0
2018-03-14,267.0
2018-03-15,297.0
2018-03-16,256.0
2018-03-17,186.0
2018-03-18,169.0
2018-03-19,173.0
2018-03-20,217.0
2018-03-21,289.0
2018-03-22,186.0
2018-03-23,151.0
2018-03-24,175.0
2018-03-25,195.0
2018-03-26,183.0
2018-03-27,230.0
2018-03-28,255.0
2018-03-29,213.0
2018-03-30,218.0
2018-03-31,256.0
2018-04-01,195.0
2018-04-02,219.0
2018-04-03,207.0
2018-04-04,203.0
2018-04-05,290.0
2018-04-06,208.0
2018-04-07,143.0
2018-04-08,141.0
2018-04-09,120.0
2018-04-10,230.0
2018-04-11,141.0
2018-04-12,99.0
2018-04-13,188.0
2018-04-14,217.0
2018-04-15,224.0
2018-04-16,285.0
2018-04-17,244.0
2018-04-18,228.0
2018-04-19,244.0
2018-04-20,246.0
2018-04-21,356.0
2018-04-22,211.0
2018-04-23,160.0
2018-04-24,254.0
2018-04-25,266.0
2018-04-26,313.0
2018-04-27,310.0
2018-04-28,301.0
2018-04-29,248.0
2018-04-30,209.0
2018-05-01,177.0
2018-05-02,153.0
2018-05-03,160.0
2018-05-04,139.0
2018-05-05,173.0
2018-05-06,269.0
2018-05-07,211.0
2018-05-08,208.0
2018-05-09,163.0
2018-05-10,190.0
2018-05-11,256.0
2018-05-12,304.0
2018-05-13,215.0
2018-05-14,130.0
2018-05-15,164.0
2018-05-16,190.0
2018-05-17,243.0
2018-05-18,225.0
2018-05-19,242.0
2018-05-20,199.0
2018-05-21,183.0
2018-05-22,212.0
2018-05-23,301.0
2018-05-24,252.0
2018-05-25,251.0
2018-05-26,235.0
2018-05-27,277.0
2018-05-28,275.0
2018-05-29,285.0
2018-05-30,281.0
2018-05-31,208.0
2018-06-01,198.0
2018-06-02,173.0
2018-06-03,174.0
2018-06-04,183.0
2018-06-05,169.0
2018-06-06,136.0
2018-06-07,164.0
2018-06-08,179.0
2018-06-09,127.0
2018-06-10,158.0
2018-06-11,183.0
2018-06-12,296.0
2018-06-13,445.0
2018-06-14,431.0
2018-06-15,447.0
2018-06-16,369.0
2018-06-17,289.0
2018-06-18,171.0
2018-06-19,121.0
2018-06-20,177.0
2018-06-21,226.0
2018-06-22,236.0
2018-06-23,218.0
2018-06-24,183.0
2018-06-25,192.0
2018-06-26,110.0
2018-06-27,93.0
2018-06-28,76.0
2018-06-29,72.0
2018-06-30,96.0
2018-07-01,92.0
2018-07-02,106.0
2018-07-03,114.0
2018-07-04,137.0
2018-07-05,123.0
2018-07-06,147.0
2018-07-07,151.0
2018-07-08,182.0
2018-07-09,157.0
2018-07-10,134.0
2018-07-11,106.0
2018-07-12,143.0
2018-07-13,99.0
2018-07-14,76.0
2018-07-15,76.0
2018-07-16,87.0
2018-07-17,91.0
2018-07-18,106.0
2018-07-19,88.0
2018-07-20,80.0
2018-07-21,111.0
2018-07-22,61.0
2018-07-23,67.0
2018-07-24,90.0
2018-07-25,78.0
2018-07-26,74.0
2018-07-27,54.0
2018-07-28,57.0
2018-07-29,90.0
2018-07-30,115.0
2018-07-31,132.0
2018-08-01,153.0
2018-08-02,235.0
2018-08-03,213.0
2018-08-04,216.0
2018-08-05,241.0
2018-08-06,133.0
2018-08-07,113.0
2018-08-08,86.0
2018-08-09,88.0
2018-08-10,102.0
2018-08-11,96.0
2018-08-12,83.0
2018-08-13,94.0
2018-08-14,117.0
2018-08-15,120.0
2018-08-16,86.0
2018-08-17,84.0
2018-08-18,80.0
2018-08-19,89.0
2018-08-20,137.0
2018-08-21,87.0
2018-08-22,78.0
2018-08-23,69.0
2018-08-24,80.0
2018-08-25,89.0
2018-08-26,78.0
2018-08-27,62.0
2018-08-28,71.0
2018-08-29,68.0
2018-08-30,78.0
2018-08-31,127.0
2018-09-01,114.0
2018-09-02,106.0
2018-09-03,73.0
2018-09-04,112.0
2018-09-05,90.0
2018-09-06,137.0
2018-09-07,91.0
2018-09-08,86.0
2018-09-09,61.0
2018-09-10,84.0
2018-09-11,79.0
2018-09-12,90.0
2018-09-13,103.0
2018-09-14,102.0
2018-09-15,118.0
2018-09-16,121.0
2018-09-17,135.0
2018-09-18,150.0
2018-09-19,154.0
2018-09-20,164.0
2018-09-21,143.0
2018-09-22,54.0
2018-09-23,62.0
2018-09-24,52.0
2018-09-25,55.0
2018-09-26,88.0
2018-09-27,151.0
2018-09-28,197.0
2018-09-29,219.0
2018-09-30,158.0
2018-10-01,148.0
2018-10-02,202.0
2018-10-03,143.0
2018-10-04,201.0
2018-10-05,256.0
2018-10-06,209.0
2018-10-07,181.0
2018-10-08,246.0
2018-10-09,251.0
2018-10-10,241.0
2018-10-11,210.0
2018-10-12,154.0
2018-10-13,262.0
2018-10-14,204.0
2018-10-15,246.0
2018-10-16,291.0
2018-10-17,313.0
2018-10-18,297.0
2018-10-19,276.0
2018-10-20,326.0
2018-10-21,292.0
2018-10-22,272.0
2018-10-23,254.0
2018-10-24,328.0
2018-10-25,331.0
2018-10-26,361.0
2018-10-27,350.0
2018-10-28,366.0
2018-10-29,367.0
2018-10-30,401.0
2018-10-31,358.0
2018-11-01,393.0
2018-11-02,370.0
2018-11-03,340.0
2018-11-04,171.0
2018-11-05,426.0
2018-11-06,338.0
2018-11-07,281.0
2018-11-08,390.0
2018-11-09,423.0
2018-11-10,401.0
2018-11-11,405.0
2018-11-12,399.0
2018-11-13,409.0
2018-11-14,312.0
2018-11-15,217.0
2018-11-16,285.0
2018-11-17,267.0
2018-11-18,311.0
2018-11-19,330.0
2018-11-20,374.0
2018-11-21,374.0
2018-11-22,273.0
2018-11-23,337.0
2018-11-24,249.0
2018-11-25,262.0
2018-11-26,336.0
2018-11-27,352.0
2018-11-28,316.0
2018-11-29,358.0
2018-11-30,352.0
2018-12-01,306.0
2018-12-02,297.0
2018-12-03,328.0
2018-12-04,356.0
2018-12-05,331.0
2018-12-06,349.0
2018-12-07,348.0
2018-12-08,347.0
2018-12-09,374.0
2018-12-10,403.0
2018-12-11,413.0
2018-12-12,392.0
2018-12-13,194.0
2018-12-14,249.0
2018-12-15,261.0
2018-12-16,282.0
2018-12-17,337.0
2018-12-18,353.0
2018-12-19,353.0
2018-12-20,394.0
2018-12-21,386.0
2018-12-22,421.0
2018-12-23,450.0
2018-12-24,448.0
2018-12-25,409.0
2018-12-26,384.0
2018-12-27,399.0
2018-12-28,392.0
2018-12-29,385.0
2018-12-30,415.0
2018-12-31,420.0
2019-01-01,393.0
2019-01-02,430.0
2019-01-03,444.0
2019-01-04,386.0
2019-01-05,407.0
2019-01-06,336.0
2019-01-07,333.0
2019-01-08,320.0
2019-01-09,288.0
2019-01-10,292.0
2019-01-11,371.0
2019-01-12,423.0
2019-01-13,414.0
2019-01-14,247.0
2019-01-15,237.0
2019-01-16,371.0
2019-01-17,440.0
2019-01-18,397.0
2019-01-19,378.0
2019-01-20,404.0
2019-01-21,346.0
2019-01-22,104.0
2019-01-23,212.0
2019-01-24,311.0
2019-01-25,151.0
2019-01-26,233.0
2019-01-27,262.0
2019-01-28,267.0
2019-01-29,276.0
2019-01-30,327.0
2019-01-31,359.0
2019-02-01,306.0
2019-02-02,332.0
2019-02-03,289.0
2019-02-04,288.0
2019-02-05,382.0
2019-02-06,352.0
2019-02-07,176.0
2019-02-08,144.0
2019-02-09,158.0
2019-02-10,276.0
2019-02-11,309.0
2019-02-12,342.0
2019-02-13,367.0
2019-02-14,340.0
2019-02-15,245.0
2019-02-16,276.0
2019-02-17,222.0
2019-02-18,255.0
2019-02-19,221.0
2019-02-20,271.0
2019-02-21,144.0
2019-02-22,186.0
2019-02-23,113.0
2019-02-24,190.0
2019-02-25,217.0
2019-02-26,116.0
2019-02-27,100.0
2019-02-28,170.0
2019-03-01,225.0
2019-03-02,217.0
2019-03-03,117.0
2019-03-04,234.0
2019-03-05,140.0
2019-03-06,186.0
2019-03-07,217.0
2019-03-08,197.0
2019-03-09,187.0
2019-03-10,160.0
2019-03-11,187.0
2019-03-12,134.0
2019-03-13,178.0
2019-03-14,266.0
2019-03-15,154.0
2019-03-16,139.0
2019-03-17,192.0
2019-03-18,196.0
2019-03-19,216.0
2019-03-20,208.0
2019-03-21,242.0
2019-03-22,114.0
2019-03-23,132.0
2019-03-24,121.0
2019-03-25,139.0
2019-03-26,159.0
2019-03-27,171.0
2019-03-28,234.0
2019-03-29,232.0
2019-03-30,233.0
2019-03-31,182.0
2019-04-01,151.0
2019-04-02,198.0
2019-04-03,187.0
2019-04-04,254.0
2019-04-05,264.0
2019-04-06,266.0
2019-04-07,302.0
2019-04-08,264.0
2019-04-09,204.0
2019-04-10,238.0
2019-04-11,183.0
2019-04-12,212.0
2019-04-13,170.0
2019-04-14,137.0
2019-04-15,168.0
2019-04-16,180.0
2019-04-17,84.0
2019-04-18,114.0
2019-04-19,157.0
2019-04-20,198.0
2019-04-21,203.0
2019-04-22,236.0
2019-04-23,247.0
2019-04-24,221.0
2019-04-25,251.0
2019-04-26,215.0
2019-04-27,256.0
2019-04-28,264.0
2019-04-29,248.0
2019-04-30,250.0
2019-05-01,295.0
2019-05-02,257.0
2019-05-03,183.0
2019-05-04,182.0
2019-05-05,227.0
2019-05-06,249.0
2019-05-07,294.0
2019-05-08,357.0
2019-05-09,347.0
2019-05-10,277.0
2019-05-11,251.0
2019-05-12,334.0
2019-05-13,322.0
2019-05-14,153.0
2019-05-15,186.0
2019-05-16,187.0
2019-05-17,265.0
2019-05-18,105.0
2019-05-19,185.0
2019-05-20,206.0
2019-05-21,190.0
2019-05-22,158.0
2019-05-23,223.0
2019-05-24,123.0
2019-05-25,121.0
2019-05-26,142.0
2019-05-27,160.0
2019-05-28,177.0
2019-05-29,185.0
2019-05-30,218.0
2019-05-31,280.0
2019-06-01,264.0
2019-06-02,201.0
2019-06-03,261.0
2019-06-04,169.0
2019-06-05,192.0
2019-06-06,206.0
2019-06-07,173.0
2019-06-08,181.0
2019-06-09,239.0
2019-06-10,207.0
2019-06-11,307.0
2019-06-12,233.0
2019-06-13,175.0
2019-06-14,171.0
2019-06-15,224.0
2019-06-16,178.0
2019-06-17,123.0
2019-06-18,97.0
2019-06-19,199.0
2019-06-20,141.0
2019-06-21,177.0
2019-06-22,189.0
2019-06-23,148.0
2019-06-24,109.0
2019-06-25,133.0
2019-06-26,162.0
2019-06-27,184.0
2019-06-28,191.0
2019-06-29,231.0
2019-06-30,237.0
2019-07-01,183.0
2019-07-02,218.0
2019-07-03,136.0
2019-07-04,103.0
2019-07-05,106.0
2019-07-06,88.0
2019-07-07,91.0
2019-07-08,127.0
2019-07-09,126.0
2019-07-10,148.0
2019-07-11,317.0
2019-07-12,272.0
2019-07-13,275.0
2019-07-14,235.0
2019-07-15,168.0
2019-07-16,93.0
2019-07-17,73.0
2019-07-18,85.0
2019-07-19,145.0
2019-07-20,124.0
2019-07-21,108.0
2019-07-22,112.0
2019-07-23,148.0
2019-07-24,164.0
2019-07-25,78.0
2019-07-26,81.0
2019-07-27,61.0
2019-07-28,64.0
2019-07-29,65.0
2019-07-30,80.0
2019-07-31,80.0
2019-08-01,89.0
2019-08-02,84.0
2019-08-03,89.0
2019-08-04,87.0
2019-08-05,105.0
2019-08-06,76.0
2019-08-07,75.0
2019-08-08,79.0
2019-08-09,75.0
2019-08-10,59.0
2019-08-11,68.0
2019-08-12,57.0
2019-08-13,69.0
2019-08-14,63.0
2019-08-15,75.0
2019-08-16,53.0
2019-08-17,49.0
2019-08-18,49.0
2019-08-19,81.0
2019-08-20,97.0
2019-08-21,109.0
2019-08-22,123.0
2019-08-23,129.0
2019-08-24,147.0
2019-08-25,91.0
2019-08-26,66.0
2019-08-27,117.0
2019-08-28,105.0
2019-08-29,91.0
2019-08-30,101.0
2019-08-31,114.0
2019-09-01,108.0
2019-09-02,96.0
2019-09-03,141.0
2019-09-04,173.0
2019-09-05,95.0
2019-09-06,90.0
2019-09-07,82.0
2019-09-08,77.0
2019-09-09,108.0
2019-09-10,137.0
2019-09-11,168.0
2019-09-12,151.0
2019-09-13,86.0
2019-09-14,72.0
2019-09-15,72.0
2019-09-16,105.0
2019-09-17,135.0
2019-09-18,110.0
2019-09-19,66.0
2019-09-20,90.0
2019-09-21,114.0
2019-09-22,67.0
2019-09-23,83.0
2019-09-24,94.0
2019-09-25,90.0
2019-09-26,74.0
2019-09-27,63.0
2019-09-28,67.0
2019-09-29,60.0
2019-09-30,68.0
2019-10-01,93.0
2019-10-02,90.0
2019-10-03,136.0
2019-10-04,100.0
2019-10-05,98.0
2019-10-06,127.0
2019-10-07,130.0
2019-10-08,112.0
2019-10-09,173.0
2019-10-10,211.0
2019-10-11,216.0
2019-10-12,222.0
2019-10-13,270.0
2019-10-14,252.0
2019-10-15,270.0
2019-10-16,304.0
2019-10-17,284.0
2019-10-18,248.0
2019-10-19,161.0
2019-10-20,238.0
2019-10-21,249.0
2019-10-22,207.0
2019-10-23,242.0
2019-10-24,311.0
2019-10-25,284.0
2019-10-26,287.0
2019-10-27,337.0
2019-10-28,368.0
2019-10-29,400.0
2019-10-30,419.0
2019-10-31,410.0
2019-11-01,484.0
2019-11-02,399.0
2019-11-03,494.0
2019-11-04,407.0
2019-11-05,324.0
2019-11-06,214.0
2019-11-07,309.0
2019-11-08,330.0
2019-11-09,283.0
2019-11-10,321.0
2019-11-11,360.0
2019-11-12,425.0
2019-11-13,456.0
2019-11-14,463.0
2019-11-15,458.0
2019-11-16,357.0
2019-11-17,215.0
2019-11-18,214.0
2019-11-19,242.0
2019-11-20,301.0
2019-11-21,366.0
2019-11-22,360.0
2019-11-23,312.0
2019-11-24,234.0
2019-11-25,252.0
2019-11-26,270.0
2019-11-27,134.0
2019-11-28,106.0
2019-11-29,84.0
2019-11-30,193.0
2019-12-01,250.0
2019-12-02,279.0
2019-12-03,282.0
2019-12-04,296.0
2019-12-05,382.0
2019-12-06,404.0
2019-12-07,371.0
2019-12-08,391.0
2019-12-09,343.0
2019-12-10,369.0
2019-12-11,408.0
2019-12-12,430.0
2019-12-13,240.0
2019-12-14,163.0
2019-12-15,213.0
2019-12-16,186.0
2019-12-17,168.0
2019-12-18,292.0
2019-12-19,362.0
2019-12-20,432.0
2019-12-21,418.0
2019-12-22,322.0
2019-12-23,327.0
2019-12-24,383.0
2019-12-25,350.0
2019-12-26,349.0
2019-12-27,373.0
2019-12-28,409.0
2019-12-29,431.0
2019-12-30,446.0
2019-12-31,387.0
2020-01-01,437.0
2020-01-02,417.0
2020-01-03,352.0
2020-01-04,334.0
2020-01-05,330.0
2020-01-06,325.0
2020-01-07,254.0
2020-01-08,266.0
2020-01-09,203.0
2020-01-10,255.0
2020-01-11,288.0
2020-01-12,348.0
2020-01-13,366.0
2020-01-14,283.0
2020-01-15,218.0
2020-01-16,281.0
2020-01-17,265.0
2020-01-18,243.0
2020-01-19,277.0
2020-01-20,269.0
2020-01-21,364.0
2020-01-22,370.0
2020-01-23,211.0
2020-01-24,151.0
2020-01-25,250.0
2020-01-26,325.0
2020-01-27,345.0
2020-01-28,243.0
2020-01-29,194.0
2020-01-30,202.0
2020-01-31,190.0
2020-02-01,232.0
2020-02-02,244.0
2020-02-03,270.0
2020-02-04,310.0
2020-02-05,312.0
2020-02-06,231.0
2020-02-07,295.0
2020-02-08,289.0
2020-02-09,285.0
2020-02-10,309.0
2020-02-11,323.0
2020-02-12,320.0
2020-02-13,241.0
2020-02-14,173.0
2020-02-15,167.0
2020-02-16,247.0
2020-02-17,293.0
2020-02-18,252.0
2020-02-19,272.0
2020-02-20,230.0
2020-02-21,144.0
2020-02-22,100.0
2020-02-23,225.0
2020-02-24,142.0
2020-02-25,249.0
2020-02-26,274.0
2020-02-27,233.0
2020-02-28,198.0
2020-02-29,
2020-03-01,90.0
2020-03-02,205.0
2020-03-03,205.0
2020-03-04,195.0
2020-03-05,79.0
2020-03-06,64.0
2020-03-07,67.0
2020-03-08,164.0
2020-03-09,123.0
2020-03-10,188.0
2020-03-11,116.0
2020-03-12,127.0
2020-03-13,173.0
2020-03-14,108.0
2020-03-15,131.0
2020-03-16,139.0
2020-03-17,157.0
2020-03-18,151.0
2020-03-19,186.0
2020-03-20,192.0
2020-03-21,186.0
2020-03-22,191.0
2020-03-23,124.0
2020-03-24,122.0
2020-03-25,77.0
2020-03-26,92.0
2020-03-27,69.0
2020-03-28,45.0
2020-03-29,62.0
2020-03-30,71.0
2020-03-31,76.0
2020-04-01,73.0
2020-04-02,69.0
2020-04-03,79.0
2020-04-04,87.0
2020-04-05,102.0
2020-04-06,142.0
2020-04-07,90.0
2020-04-08,83.0
2020-04-09,86.0
2020-04-10,118.0
2020-04-11,124.0
2020-04-12,94.0
2020-04-13,126.0
2020-04-14,130.0
2020-04-15,155.0
2020-04-16,180.0
2020-04-17,105.0
2020-04-18,98.0
2020-04-19,85.0
2020-04-20,119.0
2020-04-21,87.0
2020-04-22,131.0
2020-04-23,122.0
2020-04-24,139.0
2020-04-25,98.0
2020-04-26,117.0
2020-04-27,89.0
2020-04-28,100.0
2020-04-29,125.0
2020-04-30,138.0
2020-05-01,146.0
2020-05-02,112.0
2020-05-03,93.0
2020-05-04,94.0
2020-05-05,119.0
2020-05-06,139.0
2020-05-07,127.0
2020-05-08,134.0
2020-05-09,144.0
2020-05-10,121.0
2020-05-11,116.0
2020-05-12,125.0
2020-05-13,150.0
2020-05-14,149.0
2020-05-15,123.0
2020-05-16,179.0
2020-05-17,200.0
2020-05-18,206.0
2020-05-19,212.0
2020-05-20,166.0
2020-05-21,147.0
2020-05-22,199.0
2020-05-23,181.0
2020-05-24,172.0
2020-05-25,153.0
2020-05-26,154.0
2020-05-27,156.0
2020-05-28,188.0
2020-05-29,101.0
2020-05-30,78.0
2020-05-31,72.0
2020-06-01,104.0
2020-06-02,124.0
2020-06-03,122.0
2020-06-04,153.0
2020-06-05,111.0
2020-06-06,102.0
2020-06-07,107.0
2020-06-08,108.0
2020-06-09,139.0
2020-06-10,152.0
2020-06-11,141.0
2020-06-12,153.0
2020-06-13,123.0
2020-06-14,154.0
2020-06-15,115.0
2020-06-16,118.0
2020-06-17,109.0
2020-06-18,95.0
2020-06-19,148.0
2020-06-20,149.0
2020-06-21,98.0
2020-06-22,92.0
2020-06-23,76.0
2020-06-24,66.0
2020-06-25,85.0
2020-06-26,105.0
2020-06-27,108.0
2020-06-28,209.0
2020-06-29,230.0
2020-06-30,102.0
2020-07-01,117.0
2020-07-02,127.0
2020-07-03,156.0
